enc_file_size_bits,time_enc_ns,time_dec_ns,file,bpp,num_points
4146960,153831353,136492287,T162-1158861.ply,3.5784792136416708,1158861
4174712,364311639,58496358,T163-1166568.ply,3.5786272210449797,1166568
4191568,279836534,110669535,T164-1171344.ply,3.5784261497903262,1171344
4206640,268849429,88957263,T165-1175730.ply,3.5778962857118555,1175730
4228448,188205658,150215941,T166-1181571.ply,3.57866603022586,1181571
4249472,224107472,189228158,T167-1187784.ply,3.5776471142901403,1187784
4273400,280677108,48134338,T168-1195149.ply,3.575621115024152,1195149
4302408,263315038,142932444,T169-1204401.ply,3.572238814149108,1204401
4326776,160622713,48953283,T170-1211295.ply,3.572024981528034,1211295
4343080,174615283,50210214,T171-1216374.ply,3.5705136742482164,1216374
4363000,158416884,49124509,T172-1222080.ply,3.5701427075150565,1222080
4393768,235498427,166724312,T173-1231044.ply,3.5691396895643046,1231044
4442336,265264872,195041002,T174-1244934.ply,3.56833052997187,1244934
4477136,385803859,86167180,T175-1254897.ply,3.5677318536899842,1254897
4498376,173341201,58331132,T176-1261704.ply,3.565318014367871,1261704
4456512,212984642,65089731,T177-1249776.ply,3.5658486000691325,1249776
4473544,311539266,122396691,T178-1256208.ply,3.5611491090647407,1256208
4492664,176469903,180373556,T179-1261797.ply,3.560528357572573,1261797
4502904,184545708,81952736,T180-1265592.ply,3.5579428441393435,1265592
4519488,175506024,203937926,T181-1270899.ply,3.5561346731722976,1270899
4528232,283486242,51331267,T182-1273821.ply,3.5548416928281132,1273821
4533648,161502132,51337753,T183-1275612.ply,3.5540963866755724,1275612
4552656,239904270,177713830,T184-1280682.ply,3.5548684216690796,1280682
4576064,208850027,183471710,T185-1286973.ply,3.555679878288045,1286973
4595072,236418927,170975781,T186-1292199.ply,3.556009561994708,1292199
4624360,284365133,167629271,T187-1299885.ply,3.5575147032237466,1299885
4640944,224680680,181668756,T188-1305225.ply,3.5556658813614512,1305225
4650352,174022207,173413865,T189-1308222.ply,3.554711662087933,1308222
4664776,310613683,52590529,T190-1312620.ply,3.5537901296643355,1312620
4685056,288202882,52392976,T191-1318851.ply,3.552377031218841,1318851
4707200,166220088,56339284,T192-1323738.ply,3.555990686978843,1323738
4726008,209252552,185534016,T193-1329471.ply,3.554803376681402,1329471
4745784,301772347,52862454,T194-1335522.ply,3.553504921671077,1335522
4772280,169496839,52832983,T195-1343466.ply,3.552214942544136,1343466
4856304,170788994,53760445,T196-1365642.ply,3.5560593479110922,1365642
4918616,177468793,54416982,T197-1382424.ply,3.5579648501472776,1382424
4949544,275537686,120863562,T198-1392855.ply,3.553524236191133,1392855
4982528,194509803,89205330,T199-1402758.ply,3.551951227510376,1402758
5020192,268747914,55331643,T200-1413519.ply,3.5515560809582327,1413519
5061184,194762189,60175185,T201-1425195.ply,3.551222113465175,1425195
5108120,323569967,64367664,T202-1439052.ply,3.549642403471174,1439052
5133960,319214684,185170025,T203-1447197.ply,3.5475197917076944,1447197
5177760,330734340,58934272,T204-1460361.ply,3.5455342891244013,1460361
5212384,403869731,57653721,T205-1471077.ply,3.543243487594463,1471077
5230576,288307724,169737017,T206-1476837.ply,3.5417422504988703,1476837
5255848,305200515,178089270,T207-1484307.ply,3.540944023035666,1484307
5304936,303028682,60226839,T208-1498395.ply,3.540412241097975,1498395
5333096,210833521,59138380,T209-1506834.ply,3.5392724082413856,1506834
5372280,201244208,60448701,T210-1517772.ply,3.539583020374602,1517772
5406384,436786312,274009761,T211-1527693.ply,3.5389204506402794,1527693
5436664,505527039,199028345,T212-1536948.ply,3.5373116071591233,1536948
5476416,241269556,60253329,T213-1550346.ply,3.5323830938384075,1550346
5530584,204242206,204644454,T214-1565562.ply,3.532650894694685,1565562
5560384,403099869,62801241,T215-1575432.ply,3.5294344662289454,1575432
5595264,745315354,142624605,T216-1585743.ply,3.5284809707499893,1585743
5577152,352926984,250256555,T217-1596336.ply,3.4937206202203046,1596336
5605352,315284005,189767456,T218-1604169.ply,3.494240320066028,1604169
5629928,264192566,272499860,T219-1612041.ply,3.492422339134054,1612041
5652528,325872683,147967113,T220-1618215.ply,3.4930636534700272,1618215
5674384,249257649,76605964,T221-1624875.ply,3.4921972459419957,1624875
5697600,303327315,201248142,T222-1630674.ply,3.4940153580666644,1630674
5702384,314599301,211067744,T223-1638876.ply,3.4794481095580143,1638876
5722496,274076130,198048103,T224-1646832.ply,3.4748511080668822,1646832
5719104,336668982,65139003,T225-1655745.ply,3.454097098285062,1655745
5765824,212828788,228214266,T226-1668279.ply,3.4561509196003786,1668279
5805136,338512049,65626686,T227-1678155.ply,3.459237078815723,1678155
5829864,250651197,207118518,T228-1684626.ply,3.4606280563163576,1684626
5848200,273808067,66380409,T229-1690575.ply,3.459296393238987,1690575
5888296,231572690,179008418,T230-1703394.ply,3.456802125638578,1703394
5929144,367452649,190199276,T231-1715166.ply,3.456892219178785,1715166
5958088,263809933,67506865,T232-1724808.ply,3.454348541982644,1724808
5985536,432612600,183537530,T233-1732812.ply,3.454232773087906,1732812
6034424,355508643,67447757,T234-1744479.ply,3.459155426921161,1744479
6087456,225187320,185900718,T235-1759239.ply,3.4602779952013343,1759239
6139968,858800251,203943947,T236-1773657.ply,3.461756134359687,1773657
6198864,430450108,184761646,T237-1788840.ply,3.4652981820621185,1788840
6237400,358403781,206379992,T238-1801098.ply,3.4631097252897955,1801098
6302336,366210535,179291018,T239-1816398.ply,3.4696889117913585,1816398
6306144,279399711,195127162,T240-1827090.ply,3.4514687289624484,1827090
6325968,287743413,178843450,T241-1833573.ply,3.450076980845595,1833573
6334056,552178358,71837570,T242-1836837.ply,3.44834952693135,1836837
6349024,384544350,70389583,T243-1842603.ply,3.445682005293598,1842603
6343728,240527210,72475886,T244-1856154.ply,3.4176733180544288,1856154
6401968,355040584,272243368,T245-1872897.ply,3.41821680530216,1872897
6451792,486886150,203703541,T246-1888218.ply,3.416868179415724,1888218
6490816,350175810,220277577,T247-1900464.ply,3.415384874430665,1900464
6522120,316399712,222887057,T248-1909560.ply,3.4155093319927103,1909560
6544008,373112440,184879945,T249-1917123.ply,3.413452344998208,1917123
6560464,417274356,199779226,T250-1923288.ply,3.4110668812991087,1923288
6577328,383326700,260646484,T251-1928544.ply,3.4105148754708217,1928544
6597872,392079706,109608362,T252-1932897.ply,3.4134627970347102,1932897
6616936,295581706,226406727,T253-1940001.ply,3.4107899944381472,1940001
6639912,394067836,198658318,T254-1948452.ply,3.4077883365871986,1948452
6659712,268829709,214600023,T255-1955508.ply,3.4056173638768032,1955508
6671640,358291759,76712061,T256-1959858.ply,3.404144585985311,1959858
6687064,276727113,115686467,T257-1964778.ply,3.4034705193156682,1964778
6698344,329904543,196214734,T258-1968468.ply,3.402820873897874,1968468
6701320,405263214,218427724,T259-1969380.ply,3.402756197381917,1969380
6702456,355269499,81455530,T260-1969797.ply,3.4026125534763225,1969797
